143	18	4        5
144	6	21       2
145	20	10       8
147	14	119      118
148	117	16       128
149	17	129      130
150	132	23       131
151	24	143      133
152	136	26       150
153	29	42       41
155	32	49       48
156	60	33       59
157	35	58       36
158	140	38       139
159	40	137      41
162	51	66       67
163	54	74       53
164	76	56       75
165	68	57       67
166	62	65       64
168	84	70       83
169	79	85       78
170	80	92       85
171	87	93       86
172	105	89       104
173	94	103      86
175	99	109      100
176	100	123      121
177	121	102      120
178	124	110      111
179	112	126      124
180	127	115      128
181	145	133      147
182	135	150      151
183	148	144      149
