第一类接触力（XY平面），正数受压负数受拉:
单元编号  接触应变 接触应力Pa  接触力N
184   1.7689e+01   6.1910e+06   486.241465
185   1.3384e-02   4.6843e+03   0.367905
186   1.0761e+01   3.7663e+06   295.804243
187   1.5065e+01   5.2726e+06   414.108286
189   1.0018e+02   3.5062e+07   2753.754636
191   1.7494e+01   6.1230e+06   480.900922
192   1.8708e+01   6.5479e+06   514.270656
193   2.8291e+01   9.9020e+06   777.701780


第二类接触力（Z轴），正数受压负数受拉:
单元编号 接触应变 接触应力Pa  接触力N
143   1.8278e+01   6.3975e+06   502.455112
144   2.8691e+01   1.0042e+07   788.690066
145   3.1752e-04   1.1113e+02   0.008728
147   3.1140e-04   1.0899e+02   0.008560
148   2.3240e-04   8.1339e+01   0.006388
149   1.1027e-03   3.8595e+02   0.030312
150   2.6629e-03   9.3201e+02   0.073200
151   1.9419e-03   6.7967e+02   0.053381
152   2.1784e-03   7.6242e+02   0.059881
153   4.2002e-04   1.4701e+02   0.011546
155   8.8447e+00   3.0956e+06   243.131737
156   6.3137e+00   2.2098e+06   173.558241
157   7.6829e+00   2.6890e+06   211.195234
158   8.4022e-04   2.9408e+02   0.023097
159   1.7967e-03   6.2883e+02   0.049389
162   7.9771e+00   2.7920e+06   219.283132
163   6.3709e+01   2.2298e+07   1751.301354
164   5.3603e+01   1.8761e+07   1473.479925
165   1.3755e+01   4.8142e+06   378.106303
166   7.7898e+00   2.7264e+06   214.134183
168   1.5010e+02   5.2536e+07   4126.205174
169   2.2077e+02   7.7270e+07   6068.791260
170   3.4806e+01   1.2182e+07   956.773778
171   2.0874e+02   7.3060e+07   5738.137115
172   1.4979e+02   5.2426e+07   4117.530286
173   2.1032e+01   7.3611e+06   578.141146
175   1.3511e-05   4.7290e+00   0.000371
176   1.3940e+01   4.8789e+06   383.188468
177   1.7036e+01   5.9627e+06   468.307013
178   1.3698e+01   4.7942e+06   376.538693
179   1.9651e+01   6.8779e+06   540.192646
180   5.3217e-04   1.8626e+02   0.014629
181   3.2417e-03   1.1346e+03   0.089112
182   2.6243e+01   9.1850e+06   721.385959
183   4.0543e+01   1.4190e+07   1114.486450
